pie,data,valle,llano,punta,anno_mes
10/12/2021,622.0,340.0,116.0,166.0,21-12
18/01/2022,573.0,261.0,125.0,187.0,22-01
08/02/2022,405.0,181.0,91.0,133.0,22-02
08/03/2022,532.0,242.0,131.0,159.0,22-03
08/04/2022,586.0,269.0,135.0,182.0,22-04
09/05/2022,373.0,159.0,93.0,121.0,22-05
08/06/2022,478.0,226.0,117.0,135.0,22-06
08/07/2022,520.0,210.0,162.0,148.0,22-07
08/08/2022,538.0,211.0,182.0,145.0,22-08
08/09/2022,617.0,254.0,203.0,160.0,22-09
10/10/2022,462.0,178.0,132.0,152.0,22-10
09/11/2022,257.0,141.0,49.0,67.0,22-11
12/12/2022,299.0,144.0,63.0,92.0,22-12
10/01/2023,388.0,196.0,85.0,107.0,23-01
08/02/2023,414.0,222.0,87.0,105.0,23-02
08/03/2023,293.0,136.0,64.0,93.0,23-03
11/04/2023,235.0,116.0,49.0,70.0,23-04
09/05/2023,202.0,106.0,37.0,59.0,23-05
08/06/2023,231.0,137.0,37.0,57.0,23-06
10/07/2023,257.0,137.0,48.0,72.0,23-07
08/08/2023,241.0,133.0,47.0,61.0,23-08
08/09/2023,314.0,183.0,58.0,73.0,23-09
09/10/2023,213.0,122.0,39.0,52.0,23-10
09/11/2023,372.0,205.0,80.0,87.0,23-11
11/12/2023,364.0,157.0,99.0,108.0,23-12
09/01/2024,517.0,280.0,123.0,114.0,24-01
09/02/2024,519.0,224.0,130.0,165.0,24-02
11/03/2024,373.0,174.0,91.0,108.0,24-03
09/04/2024,364.0,169.0,97.0,98.0,24-04
10/05/2024,340.0,195.0,79.0,66.0,24-05
11/06/2024,384.0,182.0,98.0,104.0,24-06
09/07/2024,369.0,188.0,78.0,103.0,24-07
09/08/2024,615.0,313.0,138.0,164.0,24-08
10/09/2024,639.0,310.0,148.0,181.0,24-09
09/10/2024,481.0,228.0,108.0,145.0,24-10
12/11/2024,603.0,268.0,131.0,204.0,24-11
11/12/2024,750.0,390.0,204.0,156.0,24-12
13/01/2025,685.0,314.0,200.0,171.0,25-01
18/02/2025,875.0,385.0,256.0,234.0,25-02
