Fecha consumo,Fecha Factura,Consumo,Fecha Facturación,Fecha Maxima Término Energia,Fecha Minima Término Energia,Fecha Minima Término Potencia,Fecha Maxima Término Potencia,Fecha Máxima Término,Fecha Minima Término,Numero Factura,Importe Factura,Importe,Año-mes
2020-12-07,2020-12-07,457.0,2020-12-07,2020-12-03,2020-11-04,2020-11-04,2020-12-03,2020-12-03,2020-11-04,2020-12-07-22.49.04.698248,64.37,64.37,20-12
2021-01-11,2021-01-11,802.0,2021-01-11,2021-01-07,2020-12-03,2020-12-03,2021-01-07,2021-01-07,2020-12-03,2021-01-11-23.17.35.604889,104.07,104.07,21-01
2021-02-05,2021-02-05,558.0,2021-02-05,2021-02-03,2021-01-07,2021-01-07,2021-02-03,2021-02-03,2021-01-07,2021-02-05-23.08.35.928849,84.35,84.35,21-02
2021-03-05,2021-03-05,415.0,2021-03-05,2021-03-03,2021-02-03,2021-02-03,2021-03-03,2021-03-03,2021-02-03,2021-03-05-22.59.33.768713,52.28,52.28,21-03
2021-04-09,2021-04-09,505.0,2021-04-09,2021-04-07,2021-03-03,2021-03-03,2021-04-07,2021-04-07,2021-03-03,2021-04-09-23.28.34.470604,73.54,73.54,21-04
2021-05-07,2021-05-07,338.0,2021-05-07,2021-05-05,2021-04-07,2021-04-07,2021-05-05,2021-05-05,2021-04-07,2021-05-07-23.30.10.404268,61.49,61.49,21-05
2021-07-09,2021-07-09,318.0,2021-07-09,2021-05-31,2021-05-05,2021-05-05,2021-05-31,2021-05-31,2021-05-05,2021-06-08-22.53.11.967713,50.99,50.99,21-07
2021-07-09,2021-07-09,452.0,2021-07-09,2021-07-05,2021-05-31,2021-05-31,2021-07-05,2021-07-05,2021-05-31,2021-07-08-22.30.00.307919,82.5,82.5,21-07
2021-08-09,2021-08-09,474.0,2021-08-09,2021-08-04,2021-07-05,2021-07-05,2021-08-04,2021-08-04,2021-07-05,2021-08-06-20.46.00.292771,90.62,90.62,21-08
2021-09-08,2021-09-08,574.0,2021-09-08,2021-09-05,2021-08-04,2021-08-04,2021-09-05,2021-09-05,2021-08-04,2021-09-07-21.21.00.288885,120.4,120.4,21-09
2021-10-08,2021-10-08,401.0,2021-10-08,2021-10-05,2021-09-05,2021-09-05,2021-10-05,2021-10-05,2021-09-05,2021-10-07-22.05.00.288838,95.06,95.06,21-10
2021-11-16,2021-11-16,393.0,2021-11-16,2021-11-04,2021-10-05,2021-10-05,2021-11-04,2021-11-04,2021-10-05,2021-11-15-22.22.00.576469,62.05,62.05,21-11
2021-12-10,2021-12-10,622.0,2021-12-10,2021-12-06,2021-11-04,2021-11-04,2021-12-06,2021-12-06,2021-11-04,2021-12-10-00.17.00.368565,126.84,126.84,21-12
2022-01-18,2022-01-18,573.0,2022-01-18,2022-01-11,2021-12-06,2021-12-06,2022-01-11,2022-01-11,2021-12-06,2022-01-17-23.48.00.324994,127.05,127.05,22-01
2022-02-08,2022-02-08,405.0,2022-02-08,2022-02-03,2022-01-11,2022-01-11,2022-02-03,2022-02-03,2022-01-11,2022-02-07-23.09.00.289464,94.2,94.2,22-02
2022-03-08,2022-03-08,532.0,2022-03-08,2022-03-03,2022-02-03,2022-02-03,2022-03-03,2022-03-03,2022-02-03,2022-03-08-00.23.00.259327,124.07,124.07,22-03
2022-04-08,2022-04-08,586.0,2022-04-08,2022-04-05,2022-03-03,2022-03-03,2022-04-05,2022-04-05,2022-03-03,2022-04-08-02.26.00.353160,167.9,167.9,22-04
2022-05-09,2022-05-09,373.0,2022-05-09,2022-05-04,2022-04-05,2022-04-05,2022-05-04,2022-05-04,2022-04-05,2022-05-06-22.42.00.272398,59.75,59.75,22-05
2022-06-08,2022-06-08,478.0,2022-06-08,2022-06-05,2022-05-04,2022-05-04,2022-06-05,2022-06-05,2022-05-04,2022-06-08-17.49.21.001438,84.73,84.73,22-06
2022-07-08,2022-07-08,520.0,2022-07-08,2022-07-05,2022-06-05,2022-06-05,2022-07-05,2022-07-05,2022-06-05,2022-07-08-17.42.18.004768,106.82,106.82,22-07
2022-08-08,2022-08-08,538.0,2022-08-08,2022-08-03,2022-07-05,2022-07-05,2022-08-03,2022-08-03,2022-07-05,2022-08-08-17.32.24.004782,125.46,125.46,22-08
2022-09-08,2022-09-08,617.0,2022-09-08,2022-09-05,2022-08-03,2022-08-03,2022-09-05,2022-09-05,2022-08-03,2022-09-08-17.32.22.007517,168.12,168.12,22-09
2022-10-10,2022-10-10,462.0,2022-10-10,2022-10-05,2022-09-05,2022-09-05,2022-10-05,2022-10-05,2022-09-05,2022-10-10-17.34.24.005349,92.47,92.47,22-10
2022-11-09,2022-11-09,257.0,2022-11-09,2022-11-06,2022-10-05,2022-10-05,2022-11-06,2022-11-06,2022-10-05,2022-11-09-17.32.23.009185,29.88,29.88,22-11
2022-12-12,2022-12-12,299.0,2022-12-12,2022-12-06,2022-11-06,2022-11-06,2022-12-06,2022-12-06,2022-11-06,2022-12-12-17.32.21.013999,31.63,31.63,22-12
2023-01-10,2023-01-10,388.0,2023-01-10,2023-01-04,2022-12-06,2022-12-06,2023-01-04,2023-01-04,2022-12-06,2023-01-10-18.48.18.013469,33.04,33.04,23-01
2023-02-08,2023-02-08,414.0,2023-02-08,2023-02-05,2023-01-04,2023-01-04,2023-02-05,2023-02-05,2023-01-04,2023-02-08-17.33.21.003915,29.39,29.39,23-02
2023-03-08,2023-03-08,293.0,2023-03-08,2023-03-05,2023-02-05,2023-02-05,2023-03-05,2023-03-05,2023-02-05,2023-03-08-18.00.20.003690,29.94,29.94,23-03
2023-04-11,2023-04-11,235.0,2023-04-11,2023-04-05,2023-03-05,2023-03-05,2023-04-05,2023-04-05,2023-03-05,2023-04-11-18.08.19.019320,20.38,20.38,23-04
2023-05-09,2023-05-09,202.0,2023-05-09,2023-05-04,2023-04-05,2023-04-05,2023-05-04,2023-05-04,2023-04-05,2023-05-09-18.07.16.019414,17.29,17.29,23-05
2023-06-08,2023-06-08,231.0,2023-06-08,2023-06-05,2023-05-04,2023-05-04,2023-06-05,2023-06-05,2023-05-04,2023-06-08-17.58.18.010081,18.64,18.64,23-06
2023-07-10,2023-07-10,257.0,2023-07-10,2023-07-05,2023-06-05,2023-06-05,2023-07-05,2023-07-05,2023-06-05,2023-07-10-17.31.22.001970,22.47,22.47,23-07
2023-08-08,2023-08-08,241.0,2023-08-08,2023-08-03,2023-07-05,2023-07-05,2023-08-03,2023-08-03,2023-07-05,2023-08-08-18.00.17.009327,20.78,20.78,23-08
2023-09-08,2023-09-08,314.0,2023-09-08,2023-09-05,2023-08-03,2023-08-03,2023-09-05,2023-09-05,2023-08-03,2023-09-08-17.59.20.004905,26.11,26.11,23-09
2023-10-09,2023-10-09,213.0,2023-10-09,2023-10-04,2023-09-05,2023-09-05,2023-10-04,2023-10-04,2023-09-05,2023-10-09-17.32.21.011770,20.28,20.28,23-10
2023-11-09,2023-11-09,372.0,2023-11-09,2023-11-06,2023-10-04,2023-10-04,2023-11-06,2023-11-06,2023-10-04,2023-11-09-17.50.20.007063,24.51,24.51,23-11
2023-12-11,2023-12-11,364.0,2023-12-11,2023-12-04,2023-11-06,2023-11-06,2023-12-04,2023-12-04,2023-11-06,2023-12-11-17.56.19.001579,26.67,26.67,23-12
2024-01-09,2024-01-09,517.0,2024-01-09,2024-01-04,2023-12-04,2023-12-04,2024-01-04,2024-01-04,2023-12-04,2024-01-09-17.58.20.009512,34.39,34.39,24-01
2024-02-09,2024-02-09,519.0,2024-02-09,2024-02-06,2024-01-04,2024-01-04,2024-02-06,2024-02-06,2024-01-04,2024-02-09-17.53.20.003493,39.15,39.15,24-02
2024-03-11,2024-03-11,373.0,2024-03-11,2024-03-06,2024-02-06,2024-02-06,2024-03-06,2024-03-06,2024-02-06,2024-03-11-17.32.22.018039,24.26,24.26,24-03
2024-04-09,2024-04-09,364.0,2024-04-09,2024-04-04,2024-03-06,2024-03-06,2024-04-04,2024-04-04,2024-03-06,2024-04-09-18.13.16.006904,23.11,23.11,24-04
2024-05-10,2024-05-10,340.0,2024-05-10,2024-05-07,2024-04-04,2024-04-04,2024-05-07,2024-05-07,2024-04-04,2024-05-10-17.52.19.004034,22.51,22.51,24-05
2024-06-11,2024-06-11,384.0,2024-06-11,2024-06-06,2024-05-07,2024-05-07,2024-06-06,2024-06-06,2024-05-07,2024-06-11-17.03.16.009901,27.81,27.81,24-06
2024-07-09,2024-07-09,369.0,2024-07-09,2024-07-04,2024-06-06,2024-06-06,2024-07-04,2024-07-04,2024-06-06,2024-07-09-18.03.16.000093,25.88,25.88,24-07
2024-08-09,2024-08-09,615.0,2024-08-09,2024-08-06,2024-07-04,2024-07-04,2024-08-06,2024-08-06,2024-07-04,2024-08-09-17.58.19.009632,44.66,44.66,24-08
2024-09-10,2024-09-10,639.0,2024-09-10,2024-09-05,2024-08-06,2024-08-06,2024-09-05,2024-09-05,2024-08-06,2024-09-10-17.55.17.000136,49.23,49.23,24-09
2024-10-09,2024-10-09,481.0,2024-10-09,2024-10-06,2024-09-05,2024-09-05,2024-10-06,2024-10-06,2024-09-05,2024-10-09-17.50.20.003324,36.73,36.73,24-10
2024-11-12,2024-11-12,603.0,2024-11-12,2024-11-07,2024-10-06,2024-10-06,2024-11-07,2024-11-07,2024-10-06,2024-11-12-17.53.17.006954,74.82,74.82,24-11
2024-12-11,2024-12-11,750.0,2024-12-11,2024-12-08,2024-11-07,2024-11-07,2024-12-08,2024-12-08,2024-11-07,2024-12-11-17.53.19.014521,114.57,114.57,24-12
2025-01-13,2025-01-13,685.0,2025-01-13,2025-01-08,2024-12-08,2024-12-08,2025-01-08,2025-01-08,2024-12-08,2025-01-13-17.49.20.007501,116.31,116.31,25-01
